FIPS,Median Household_Income,IR
060014271001,113744.6918958,1.11101454960543
060014271002,148464.06901917,1.45014011664849
060014271003,140399.45160986,1.37136802513892
060014272001,82949.477294771,0.810218697863109
060014272002,71031.215804842,0.693805688160262
060014272003,79779.2,0.779252644484539
060014272004,61647.105703366,0.602145297824068
060014273001,92534.14006652,0.903838009806297
060014273002,133462.16347157,1.30360725381865
060014273003,92332.2,0.901865536644581
060014273004,57673.882531034,0.563336376900231
060014273005,74190.974172371,0.724668996689667
060014276001,72808.86209608,0.7111690557223
060014276002,47065.02450413,0.459713118301173
060014276003,45315.869081442,0.442628038621957
060014277001,75791.406194501,0.74030140320117
060014277002,106563.89203776,1.04087524915002
060014277003,91902.298637869,0.897666424929898
060014277004,101133.8,0.987836191598443
060014278001,140959,1.37683347932664
060014278002,158626.10385225,1.5493989775674
060014278003,109896.18746718,1.07342383356274
060014278004,56584.991238514,0.552700504150788
060014278005,81686,0.797877535966318
060014279001,124049.46535837,1.21166762674235
060014279002,127148.8526675,1.24194125391486
060014279003,88769.094529133,0.867062488221553
060014279004,133633.81756739,1.30528390522784
060014279005,93289.391354607,0.911215014883963
060014280001,69388.371388251,0.677759013637263
060014280002,66569.832457986,0.650228605774166
060014281001,119552.11120017,1.16773919525944
060014281002,139444.79504084,1.36204330571351
060014281003,84746.8,0.827774257094611
060014281004,72019.902641171,0.703462802192195
060014282001,90820.183157834,0.887096735719491
060014282002,123975.59146221,1.21094605484214
060014282003,35271.956240338,0.344522948041925
060014282004,112925.73307761,1.10301527379421
060014282005,135628.76553034,1.32476979222267
060014283011,116166.6061364,1.13467087953481
060014283012,116227.81953627,1.1352687885603
060014283013,146399.29589789,1.42997220427261
060014283014,167156.60583495,1.63272165100608
060014283021,166833.65134173,1.62956715531184
060014283022,110247.83311158,1.07685857342376
060014283023,153877.54705829,1.50301689502987
060014284001,102763.24340776,1.00375197020408
060014284002,55189,0.539064996847013
060014284003,80768.609724429,0.788916819410335
060014285001,85445.575591838,0.834599629219689
060014285002,84662.848626069,0.826954252254454
060014286001,94050.572808778,0.918649943550775
060014286002,64740.940576898,0.63236469093403
060014286003,103797.32056348,1.01385243947672
060014287001,66753.8,0.652025530205769
060014287002,27422.6,0.267853445116543
